scale,spec_country,steel_kind,pt_thick,pt_width,pt_length,hsb,fur_no,fur_input_row,fur_heat_temp,fur_heat_time,fur_soak_temp,fur_soak_time,fur_total_time,rolling_method,rolling_temp,descaling_count,work_group,bf_temp
불량,일본,C,20,2200,43100,적용,3호기,2열,1171,65,1167,64,221,CR(제어압연),1030.0,8,1조,137.0
불량,일본,C,20,2200,36700,적용,1호기,2열,1171,99,1167,54,215,CR(제어압연),1005.0,8,1조,162.0
불량,일본,C,20,2000,42800,적용,2호기,1열,1165,76,1165,62,217,CR(제어압연),1024.0,8,1조,141.0
불량,영국,C,20,2200,43500,적용,2호기,2열,1161,62,1166,75,230,CR(제어압연),1027.0,8,1조,139.0
불량,일본,C,20,2200,42100,적용,1호기,2열,1177,88,1171,58,221,CR(제어압연),1035.0,8,1조,136.0
불량,일본,C,20,2200,43700,적용,1호기,1열,1169,77,1165,73,232,CR(제어압연),1031.0,8,1조,134.0
불량,프랑스,C,20,2100,43800,적용,2호기,1열,1161,74,1162,54,215,CR(제어압연),1016.0,10,1조,146.0
불량,일본,C,19,2000,38800,적용,2호기,2열,1172,72,1166,54,231,CR(제어압연),1027.0,10,1조,139.0
불량,일본,C,20,2000,40800,적용,3호기,1열,1170,67,1166,64,217,CR(제어압연),1035.0,8,1조,131.0
불량,프랑스,C,19,2100,43700,적용,3호기,2열,1147,56,1161,73,214,CR(제어압연),1017.0,10,1조,144.0
불량,일본,C,19,2000,38800,적용,1호기,1열,1164,76,1162,69,223,CR(제어압연),1029.0,10,1조,133.0
불량,프랑스,C,18,2200,43600,적용,1호기,2열,1166,80,1165,61,231,CR(제어압연),1014.0,10,2조,151.0
불량,일본,C,18,2400,42300,적용,2호기,1열,1156,66,1163,61,225,CR(제어압연),1010.0,10,2조,153.0
